"Delay to send notification email","Tempo para enviar o ""Notificar Pedidos"""
"Delay to send warning email","Tempo para enviar o ""Email de Aviso"""
"Enable/Disable automatically send orders notification","Habilita/Desabilita o envio automático do ""Notificar Pedidos"""
"Enable/Disable automatically send warning email feature","Habilita/Desabilita o envio automático do "Email de Aviso""
"Enable Notify Orders Email?","Habilitar ""Notificar Pedidos""?"
"Enable Warning Email?","Habilitar ""Email de Aviso""?"
"First email to be send after amount of days set on ""Warning Delay"","Intervalo para enviar o ""Email de Aviso"""
"First Warning Delay","Tempo de Envio para o ""Email de Aviso"""
"Notification order to be sent","Template do Notificar Pedidos"
"Notify Orders","Notificar Pedidos"
"Notify Orders Delay","Tempo de Envio para o ""Notificar Pedidos"""
"Notify Order Email Template","Notificar Pedidos Template"
"Warning Email Template","Template do Email de Aviso"
"Warning Email","Email de Aviso"
